mse, mae, nrmse_a, nrmse_b, nrmsd, r2, smape, mape
0.5523667, 0.5259627, 1.3805704, 769.1547, 0.097483434, 0.29412228, 36.948708, 81.61987
0.5556418, 0.5290337, 1.388727, 771.4316, 0.097772, 0.28993696, 37.18966, 82.46289
0.5531123, 0.5263709, 1.389438, 769.6737, 0.097549215, 0.29316932, 36.86184, 80.94608
0.5560524, 0.5285487, 1.3795712, 771.7167, 0.09780814, 0.28941208, 37.271645, 82.25313
0.554609, 0.528069, 1.3801156, 770.71436, 0.097681105, 0.29125673, 37.09821, 82.2669
0.559313, 0.5312248, 1.397785, 773.9759, 0.09809448, 0.28524542, 37.41822, 82.93384
0.5562674, 0.5285834, 1.3976088, 771.8658, 0.09782704, 0.28913748, 37.100418, 82.10254
0.55780137, 0.5300642, 1.3846691, 772.92926, 0.09796183, 0.2871772, 37.35404, 82.54704
0.55723065, 0.52976614, 1.3868705, 772.5338, 0.09791171, 0.28790653, 37.230507, 82.284096
0.55525976, 0.5280886, 1.3863753, 771.1664, 0.09773841, 0.29042506, 37.12985, 81.840126
