mse, mae, nrmse_a, nrmse_b, nrmsd, r2, smape, mape
0.48207402, 0.52344686, 1.426139, 398.07077, 0.12782577, 0.23590845, 37.029655, 77.67601
0.49865, 0.5312282, 1.3367913, 404.8567, 0.13000481, 0.2096355, 37.8101, 78.30627
0.46534446, 0.5135919, 1.381446, 391.1026, 0.12558818, 0.26242512, 36.415676, 74.92007
0.47380817, 0.5177899, 1.4077419, 394.6433, 0.12672515, 0.24900992, 36.67045, 75.624695
0.4860031, 0.5239517, 1.4078584, 399.68967, 0.12834562, 0.22968094, 37.26531, 77.18901
0.47401857, 0.51758265, 1.4003313, 394.73087, 0.12675327, 0.24867654, 36.702183, 76.09919
0.5250105, 0.54533726, 1.3735934, 415.42, 0.13339685, 0.16785383, 38.557373, 80.9309
0.47680998, 0.5185166, 1.3856738, 395.89145, 0.12712595, 0.24425209, 36.855526, 76.07192
0.4863153, 0.52640706, 1.4548863, 399.81808, 0.12838684, 0.22918604, 37.203197, 77.83604
0.46988392, 0.516311, 1.3775095, 393.00555, 0.12619925, 0.25523007, 36.64054, 76.63178
